country,response_rate,error_rate,empty_rate,number_of_queries,number_of_responses
ro,99.07%,0.19%,0.74%,1080,14233
bg,99.03%,0.26%,0.71%,2688,52243
pl,98.64%,0.51%,0.85%,7257,83818
nl,97.93%,0.69%,1.38%,4059,47997
se,96.73%,2.73%,0.55%,2200,27227
cz,96.46%,2.81%,0.71%,5200,95407
sk,96.16%,3.33%,0.52%,1353,25173
de,95.62%,3.42%,0.95%,5256,39020
hu,94.65%,4.97%,0.47%,1066,21671
hr,93.97%,2.82%,3.21%,779,15637
ie,93.67%,5.87%,0.46%,1295,17033
gr,93.45%,7.45%,0.13%,779,12701
it,93.41%,5.59%,1.00%,4294,54670
be,93.38%,5.81%,0.81%,740,8142
fr,93.23%,3.14%,3.64%,2997,33789
es,93.14%,6.26%,0.60%,2812,51471
dk,92.65%,7.04%,0.31%,1591,14092
at,91.08%,8.41%,0.52%,2129,16983
fi,86.89%,10.23%,2.88%,1320,12021
pt,80.98%,12.82%,6.20%,468,6931
mt,,,,0,0
ee,,,,0,0
lv,,,,0,0
si,,,,0,0
lu,,,,0,0
lt,,,,0,0
cy,,,,0,0